size,interval,visibility,visibility latency mean,visibility latency stddev
2,125,1.0,452.951178149346,22.594699336773072
3,125,0.8333333333333334,583.7851945367291,93.51483826279478
4,125,0.75,662.7935190569183,126.61191116516115
5,125,0.7,708.0692491205914,130.58457148580072
6,125,0.6666666666666666,716.1108499589334,121.13143257166836
7,125,0.6428571428571428,739.2064156014254,116.68236340239447
8,125,0.625,778.926772309486,126.94434121940539
9,125,0.6111111111111112,799.4017837825177,128.38488805350053
10,125,0.6000000000000001,828.3264773316171,132.23424365454918
11,125,0.5909090909090908,882.885735455326,134.98721805896653
12,125,0.5833333333333334,873.8261024298596,135.96560490678434
13,125,0.576923076923077,922.1892224178035,144.87840659735275
14,125,0.5714285714285713,946.6191831408715,146.50410316770424
15,125,0.5666666666666665,980.6842219276961,135.77655954411478
16,125,0.5625,981.0438432923119,133.01152662068665
17,125,0.5588235294117647,1023.9937962884976,136.2340292034209
18,125,0.5555555555555556,1056.7369620878499,148.7162557624303
19,125,0.5526315789473685,1053.277292201443,151.53875469367927
20,125,0.55,1067.9075267640883,142.9276846775534
21,125,0.5476190476190476,1082.0452825561542,163.96231199113032
22,125,0.5454545454545455,1083.9406644584326,135.21663128157016
23,125,0.5434782608695652,1076.5628106128456,138.4241348748987
24,125,0.5416666666666666,1082.1138903410097,152.29788870415538
25,125,0.54,1096.9043138719692,144.33148836157648
26,125,0.5384615384615384,1110.7145657415085,141.67473844797374
27,125,0.537037037037037,1107.7978701528211,141.43808551805577
28,125,0.5357142857142858,1147.5044307437943,150.29669022603306
29,125,0.5344827586206896,1141.933929384149,143.12167901424036
30,125,0.5333333333333334,1182.101368064953,160.09593527430957
31,125,0.5322580645161291,1173.5826897096542,151.33794223219536
32,125,0.53125,1177.7843652853014,139.2562942714027
33,125,0.5303030303030303,1197.7642415051967,138.01016556071977
34,125,0.5294117647058822,1190.6938887985814,146.18008883749195
35,125,0.5285714285714286,1223.7613838420402,142.228762032614
36,125,0.5277777777777778,1229.1963766598785,156.85935373881895
37,125,0.5270270270270272,1220.8078498794453,149.03701459256487
38,125,0.5263157894736842,1208.438804503027,143.20786601804866
39,125,0.5256410256410257,1215.7990940871914,136.56665659638986
40,125,0.525,1233.531669509678,143.09497352227058
41,125,0.5243902439024389,1243.9627394076454,153.75463363160114
42,125,0.5238095238095237,1234.1099619478227,139.65913705365938
43,125,0.5232558139534884,1258.0883845085195,134.95177447699666
44,125,0.5227272727272727,1260.1830888327072,150.76990409183065
45,125,0.5222222222222223,1276.2789899403488,159.67672339785096
46,125,0.5217391304347826,1280.2229795565897,161.21107172743623
47,125,0.521276595744681,1293.4702038208286,157.96278396151618
